id;sexe;usage_vehicule;type_vehicule;‰ge_vehicule;points_perdus_logical;type_conduite;formule;date_demande;etat_dossier;‰ge_client;tarif_intervalle;revenus_intervalle;enfants_logical;enfant_conduite_accompagne_logical;est_rouge
167;F;Private;Sports Car;17.0;NO;Highly Urban/ Urban;dev_integral;31/05/2022 15:46;complet;92;"[250Û;325Û]";"[60k;80k]";YES;FAUX;NO
168;F;Commercial;Pickup;4.0;NO;Highly Urban/ Urban;dev_integral;16/05/2022 17:40;complet;24;"[250Û;325Û]";"[40k;60k]";YES;FAUX;YES
169;F;Commercial;Panel Truck;inconnu;YES;Highly Urban/ Urban;dev_integral;22/04/2022 13:14;complet;56;"[250Û;325Û]";[>100k];NO;FAUX;NO
170;F;Commercial;SUV;11.0;YES;Highly Urban/ Urban;dev_integral;30/05/2022 08:43;complet;73;"[325Û;400Û]";"[20k;40k]";NO;FAUX;NO
171;M;Private;Pickup;11.0;YES;Highly Urban/ Urban;dev_express;01/02/2022 00:03;complet;39;"[250Û;325Û]";"[60k;80k]";YES;FAUX;YES
172;F;Commercial;Minivan;1.0;YES;Highly Urban/ Urban;dev_integral;31/05/2022 16:23;complet;29;"[325Û;400Û]";[<20k];NO;FAUX;NO
173;M;Commercial;Minivan;11.0;NO;Highly Rural/ Rural;dev_integral;16/02/2022 07:07;complet;56;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
174;F;Private;Minivan;20.0;NO;Highly Urban/ Urban;dev_integral;21/05/2022 22:01;complet;51;"[325Û;400Û]";"[60k;80k]";YES;FAUX;YES
175;M;Private;SUV;1.0;YES;Highly Urban/ Urban;dev_express;26/04/2022 15:07;complet;53;"[250Û;325Û]";[<20k];NO;FAUX;NO
176;M;Commercial;Pickup;inconnu;YES;Highly Urban/ Urban;dev_integral;14/01/2022 19:18;complet;76;"[250Û;325Û]";[>100k];NO;FAUX;NO
177;F;Commercial;Van;12.0;NO;Highly Urban/ Urban;dev_express;16/02/2022 23:39;complet;59;"[250Û;325Û]";[<20k];NO;FAUX;NO
178;M;Private;Sports Car;16.0;NO;Highly Urban/ Urban;dev_express;01/01/2022 22:26;complet;31;"[250Û;325Û]";[<20k];NO;FAUX;NO
179;M;Private;SUV;1.0;NO;Highly Rural/ Rural;dev_integral;14/01/2022 11:21;complet;64;"[250Û;325Û]";[<20k];YES;FAUX;NO
180;F;Commercial;Van;6.0;NO;Highly Urban/ Urban;dev_premium;10/05/2022 08:25;complet;56;"[500Û;575Û]";"[40k;60k]";YES;FAUX;YES
181;F;Commercial;Pickup;inconnu;YES;Highly Urban/ Urban;dev_express;02/05/2022 22:21;complet;82;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
182;F;Commercial;Van;6.0;YES;Highly Rural/ Rural;dev_express;10/02/2022 04:16;complet;25;"[250Û;325Û]";"[20k;40k]";YES;VRAI;NO
183;M;Commercial;Panel Truck;13.0;NO;Highly Rural/ Rural;dev_integral;08/01/2022 11:44;complet;54;"[250Û;325Û]";[>100k];NO;FAUX;YES
184;F;Private;Van;10.0;NO;Highly Urban/ Urban;dev_premium;12/01/2022 23:08;complet;85;"[325Û;400Û]";[>100k];NO;FAUX;YES
185;F;Private;Pickup;1.0;YES;Highly Urban/ Urban;dev_express;27/05/2022 23:47;complet;68;"[250Û;325Û]";[<20k];NO;FAUX;YES
186;M;Commercial;SUV;5.0;YES;Highly Urban/ Urban;dev_premium;10/04/2022 22:38;complet;24;"[400Û;500Û]";"[40k;60k]";YES;VRAI;NO
187;F;Private;SUV;1.0;NO;Highly Urban/ Urban;dev_integral;23/03/2022 18:01;complet;66;"[325Û;400Û]";"[20k;40k]";NO;FAUX;NO
188;F;Private;SUV;9.0;NO;Highly Urban/ Urban;dev_integral;24/05/2022 20:26;complet;20;"[325Û;400Û]";[<20k];YES;FAUX;NO
189;F;Private;SUV;1.0;NO;Highly Urban/ Urban;dev_premium;05/01/2022 12:35;complet;71;"[400Û;500Û]";[<20k];NO;FAUX;NO
190;F;Private;Minivan;11.0;NO;Highly Urban/ Urban;dev_vip;17/05/2022 21:03;complet;12;"[500Û;575Û]";"[80k;100k]";NO;FAUX;NO
191;M;Commercial;Van;inconnu;YES;Highly Urban/ Urban;dev_express;30/05/2022 12:05;complet;48;"[250Û;325Û]";"[60k;80k]";NO;FAUX;YES
192;M;Private;Sports Car;1.0;YES;Highly Urban/ Urban;dev_premium;25/01/2022 11:38;complet;6;"[400Û;500Û]";"[20k;40k]";NO;FAUX;NO
193;F;Private;Sports Car;7.0;NO;Highly Rural/ Rural;dev_integral;30/01/2022 11:59;complet;68;"[250Û;325Û]";[>100k];NO;FAUX;NO
194;F;Commercial;Panel Truck;1.0;YES;Highly Urban/ Urban;dev_premium;04/01/2022 16:07;complet;29;"[400Û;500Û]";"[40k;60k]";NO;FAUX;NO
195;F;Private;SUV;15.0;NO;Highly Urban/ Urban;dev_integral;11/02/2022 19:58;complet;51;"[325Û;400Û]";[>100k];NO;FAUX;NO
196;F;Private;Sports Car;7.0;YES;Highly Urban/ Urban;dev_premium;07/04/2022 02:19;complet;66;"[325Û;400Û]";"[40k;60k]";YES;FAUX;NO
197;F;Private;Minivan;17.0;YES;Highly Urban/ Urban;dev_express;09/02/2022 23:54;complet;55;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
198;M;Commercial;Panel Truck;13.0;YES;Highly Urban/ Urban;dev_express;27/04/2022 04:09;complet;85;"[250Û;325Û]";[>100k];NO;FAUX;NO
199;F;Private;SUV;4.0;NO;Highly Urban/ Urban;dev_integral;25/05/2022 06:02;complet;50;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
200;F;Commercial;Minivan;inconnu;NO;Highly Rural/ Rural;dev_express;10/02/2022 21:22;complet;66;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
201;M;Private;Sports Car;8.0;YES;Highly Urban/ Urban;dev_express;14/03/2022 03:24;complet;15;"[250Û;325Û]";"[40k;60k]";NO;FAUX;YES
202;M;Commercial;Pickup;7.0;YES;Highly Urban/ Urban;dev_integral;11/05/2022 10:53;complet;73;"[250Û;325Û]";"[60k;80k]";NO;FAUX;YES
203;M;Commercial;Minivan;1.0;NO;Highly Urban/ Urban;dev_premium;09/04/2022 06:44;complet;64;"[400Û;500Û]";"[40k;60k]";YES;VRAI;YES
204;F;Commercial;SUV;14.0;YES;Highly Rural/ Rural;dev_premium;14/04/2022 10:57;complet;77;"[500Û;575Û]";"[40k;60k]";NO;FAUX;NO
205;M;Private;Sports Car;7.0;YES;Highly Urban/ Urban;dev_express;18/04/2022 10:41;complet;83;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
206;M;Commercial;Minivan;1.0;NO;Highly Urban/ Urban;dev_express;23/03/2022 00:19;complet;52;"[250Û;325Û]";"[40k;60k]";NO;FAUX;YES
207;M;Commercial;Minivan;inconnu;YES;Highly Urban/ Urban;dev_integral;09/05/2022 19:49;complet;83;"[250Û;325Û]";"[60k;80k]";NO;FAUX;YES
208;M;Private;Minivan;12.0;NO;Highly Rural/ Rural;dev_express;04/02/2022 03:00;complet;59;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
209;M;Commercial;Panel Truck;8.0;YES;Highly Urban/ Urban;dev_premium;19/04/2022 01:02;complet;62;"[500Û;575Û]";"[20k;40k]";YES;VRAI;YES
210;F;Private;SUV;5.0;NO;Highly Rural/ Rural;dev_integral;03/04/2022 22:13;complet;53;"[325Û;400Û]";"[20k;40k]";YES;FAUX;NO
211;F;Private;Minivan;8.0;YES;Highly Rural/ Rural;dev_integral;18/01/2022 05:21;complet;19;"[250Û;325Û]";"[40k;60k]";YES;VRAI;NO
212;F;Commercial;Panel Truck;16.0;YES;Highly Urban/ Urban;dev_express;23/03/2022 16:17;complet;50;"[250Û;325Û]";[>100k];NO;FAUX;YES
213;F;Private;SUV;inconnu;YES;Highly Urban/ Urban;dev_integral;02/05/2022 16:43;complet;64;"[250Û;325Û]";"[40k;60k]";NO;FAUX;YES
214;F;Commercial;Van;5.0;YES;Highly Urban/ Urban;dev_express;19/01/2022 00:38;complet;51;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
215;M;Commercial;Van;inconnu;YES;Highly Urban/ Urban;dev_integral;15/02/2022 23:41;complet;57;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
216;M;Private;SUV;13.0;NO;Highly Urban/ Urban;dev_premium;03/01/2022 06:55;complet;65;"[500Û;575Û]";[>100k];NO;FAUX;NO
217;F;Private;Pickup;6.0;YES;Highly Urban/ Urban;dev_express;27/03/2022 02:40;complet;53;"[250Û;325Û]";"[20k;40k]";YES;FAUX;YES
218;F;Private;SUV;19.0;YES;Highly Urban/ Urban;dev_premium;02/04/2022 14:20;complet;7;"[400Û;500Û]";"[60k;80k]";NO;FAUX;NO
219;M;Private;Sports Car;1.0;NO;Highly Urban/ Urban;dev_premium;30/04/2022 22:44;complet;64;"[500Û;575Û]";"[20k;40k]";NO;FAUX;NO
220;M;Private;Minivan;1.0;YES;Highly Rural/ Rural;dev_integral;07/04/2022 11:09;complet;70;"[325Û;400Û]";"[20k;40k]";YES;VRAI;NO
221;M;Private;Sports Car;16.0;NO;Highly Urban/ Urban;dev_integral;22/01/2022 06:45;complet;73;"[250Û;325Û]";[>100k];YES;FAUX;NO
222;M;Commercial;Pickup;18.0;NO;Highly Rural/ Rural;dev_integral;07/05/2022 03:05;complet;69;"[250Û;325Û]";[<20k];YES;VRAI;NO
223;F;Private;SUV;3.0;YES;Highly Urban/ Urban;dev_premium;07/01/2022 07:53;complet;30;"[500Û;575Û]";"[60k;80k]";NO;FAUX;NO
224;F;Commercial;SUV;5.0;YES;Highly Urban/ Urban;dev_integral;05/01/2022 18:21;complet;4;"[325Û;400Û]";[>100k];YES;FAUX;NO
225;F;Commercial;Minivan;1.0;NO;Highly Urban/ Urban;dev_integral;13/05/2022 15:01;complet;83;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
226;M;Private;Minivan;10.0;YES;Highly Urban/ Urban;dev_express;11/05/2022 05:29;complet;55;"[250Û;325Û]";[>100k];NO;FAUX;NO
227;F;Private;SUV;9.0;YES;Highly Urban/ Urban;dev_integral;29/03/2022 05:23;complet;66;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
228;M;Private;SUV;3.0;NO;Highly Rural/ Rural;dev_premium;12/02/2022 09:30;complet;26;"[400Û;500Û]";"[20k;40k]";YES;FAUX;NO
229;F;Private;Minivan;1.0;NO;Highly Urban/ Urban;dev_premium;18/03/2022 03:20;complet;69;"[250Û;325Û]";[<20k];NO;FAUX;YES
230;F;Private;Pickup;1.0;YES;Highly Urban/ Urban;dev_express;25/01/2022 12:09;complet;83;"[250Û;325Û]";"[20k;40k]";NO;FAUX;YES
231;F;Private;SUV;inconnu;YES;Highly Urban/ Urban;dev_express;11/05/2022 03:18;complet;26;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
232;M;Private;Minivan;7.0;NO;Highly Urban/ Urban;dev_express;04/05/2022 06:00;complet;4;"[250Û;325Û]";"[60k;80k]";YES;VRAI;YES
233;F;Private;Minivan;inconnu;YES;Highly Urban/ Urban;dev_express;22/01/2022 22:28;complet;31;"[250Û;325Û]";"[60k;80k]";NO;FAUX;YES
234;F;Commercial;SUV;10.0;YES;Highly Urban/ Urban;dev_express;06/01/2022 14:38;complet;43;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
235;F;Private;SUV;7.0;YES;Highly Rural/ Rural;dev_integral;11/04/2022 02:23;complet;67;"[250Û;325Û]";[<20k];YES;FAUX;NO
236;M;Private;Pickup;16.0;NO;Highly Urban/ Urban;dev_integral;22/03/2022 21:40;complet;68;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
237;F;Commercial;Panel Truck;15.0;NO;Highly Urban/ Urban;dev_premium;31/03/2022 19:09;complet;37;"[500Û;575Û]";[>100k];NO;FAUX;NO
238;F;Private;SUV;15.0;NO;Highly Urban/ Urban;dev_integral;09/03/2022 15:11;complet;67;"[250Û;325Û]";[>100k];NO;FAUX;NO
239;M;Private;SUV;1.0;YES;Highly Urban/ Urban;dev_integral;07/05/2022 11:43;complet;73;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
240;F;Private;Minivan;10.0;YES;Highly Urban/ Urban;dev_integral;24/02/2022 02:03;complet;70;"[250Û;325Û]";"[80k;100k]";NO;FAUX;YES
241;F;Private;Minivan;15.0;NO;Highly Urban/ Urban;dev_express;24/05/2022 09:47;complet;42;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
242;M;Commercial;SUV;7.0;NO;Highly Urban/ Urban;dev_express;25/02/2022 23:45;complet;64;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
243;F;Commercial;Pickup;11.0;NO;Highly Urban/ Urban;dev_express;29/03/2022 07:38;complet;84;"[250Û;325Û]";[<20k];NO;FAUX;YES
244;F;Private;Sports Car;12.0;YES;Highly Urban/ Urban;dev_express;10/05/2022 14:59;complet;79;"[250Û;325Û]";"[60k;80k]";YES;VRAI;NO
245;M;Private;SUV;5.0;YES;Highly Urban/ Urban;dev_integral;14/05/2022 19:19;complet;11;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
246;F;Private;Van;12.0;YES;Highly Urban/ Urban;dev_integral;19/01/2022 01:48;complet;86;"[250Û;325Û]";[<20k];NO;FAUX;YES
247;M;Commercial;Pickup;7.0;NO;Highly Urban/ Urban;dev_premium;27/05/2022 14:41;complet;33;"[400Û;500Û]";"[60k;80k]";YES;VRAI;NO
248;M;Commercial;Van;1.0;NO;Highly Rural/ Rural;dev_integral;13/01/2022 11:51;complet;8;"[325Û;400Û]";[<20k];YES;FAUX;YES
249;M;Private;Pickup;10.0;NO;Highly Urban/ Urban;dev_integral;08/04/2022 01:47;complet;36;"[250Û;325Û]";"[20k;40k]";NO;FAUX;YES
250;F;Private;Minivan;15.0;YES;Highly Urban/ Urban;dev_integral;26/04/2022 15:04;complet;30;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
251;M;Private;SUV;20.0;YES;Highly Urban/ Urban;dev_integral;30/01/2022 17:15;complet;17;"[250Û;325Û]";[>100k];NO;FAUX;NO
252;F;Commercial;SUV;12.0;YES;Highly Rural/ Rural;dev_express;18/05/2022 05:21;complet;36;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
253;M;Commercial;Minivan;6.0;YES;Highly Urban/ Urban;dev_premium;27/01/2022 08:09;complet;55;"[400Û;500Û]";"[40k;60k]";NO;FAUX;NO
254;F;Private;Van;18.0;NO;Highly Urban/ Urban;dev_express;13/02/2022 22:32;complet;58;"[250Û;325Û]";[>100k];NO;FAUX;YES
255;M;Private;Minivan;8.0;NO;Highly Urban/ Urban;dev_integral;26/04/2022 23:23;complet;8;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
256;M;Commercial;Van;inconnu;YES;Highly Rural/ Rural;dev_premium;26/05/2022 00:20;complet;61;"[400Û;500Û]";"[80k;100k]";YES;FAUX;YES
257;M;Private;Minivan;16.0;NO;Highly Urban/ Urban;dev_integral;06/02/2022 07:26;complet;58;"[250Û;325Û]";[<20k];YES;FAUX;NO
258;F;Private;Minivan;5.0;NO;Highly Urban/ Urban;dev_express;05/02/2022 06:43;complet;22;"[250Û;325Û]";"[20k;40k]";YES;VRAI;NO
259;F;Private;Minivan;1.0;NO;Highly Rural/ Rural;dev_premium;26/03/2022 06:02;complet;86;"[400Û;500Û]";[<20k];NO;FAUX;YES
260;F;Commercial;Panel Truck;10.0;YES;Highly Urban/ Urban;dev_express;14/02/2022 17:36;complet;69;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
261;F;Commercial;Panel Truck;8.0;YES;Highly Urban/ Urban;dev_integral;17/04/2022 16:52;complet;9;"[325Û;400Û]";"[60k;80k]";NO;FAUX;NO
262;F;Commercial;Van;9.0;YES;Highly Urban/ Urban;dev_express;12/02/2022 04:17;complet;80;"[250Û;325Û]";"[80k;100k]";YES;FAUX;YES
263;M;Commercial;Pickup;17.0;NO;Highly Urban/ Urban;dev_integral;20/03/2022 21:08;complet;9;"[250Û;325Û]";[>100k];NO;FAUX;NO
264;M;Commercial;Van;10.0;YES;Highly Urban/ Urban;dev_express;24/03/2022 00:32;complet;13;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
265;M;Private;SUV;inconnu;YES;Highly Urban/ Urban;dev_integral;28/05/2022 16:57;complet;77;"[250Û;325Û]";[<20k];NO;FAUX;NO
266;M;Private;SUV;7.0;YES;Highly Urban/ Urban;dev_integral;27/04/2022 16:49;complet;57;"[325Û;400Û]";"[60k;80k]";NO;FAUX;NO
267;M;Private;SUV;1.0;YES;Highly Rural/ Rural;dev_premium;28/01/2022 09:25;complet;51;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
268;M;Commercial;Panel Truck;11.0;YES;Highly Urban/ Urban;dev_express;21/03/2022 10:05;complet;15;"[250Û;325Û]";[>100k];NO;FAUX;NO
269;F;Private;SUV;12.0;NO;Highly Urban/ Urban;dev_integral;07/01/2022 09:45;complet;71;"[325Û;400Û]";"[60k;80k]";NO;FAUX;NO
270;F;Private;Minivan;13.0;YES;Highly Urban/ Urban;dev_premium;15/05/2022 03:11;complet;59;"[325Û;400Û]";[>100k];NO;FAUX;NO
271;F;Commercial;Sports Car;12.0;YES;Highly Urban/ Urban;dev_integral;09/02/2022 14:04;complet;36;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
272;M;Commercial;Pickup;13.0;YES;Highly Urban/ Urban;dev_express;04/02/2022 16:41;complet;69;"[250Û;325Û]";[>100k];NO;FAUX;NO
273;F;Commercial;Van;8.0;YES;Highly Urban/ Urban;dev_integral;30/04/2022 22:43;complet;43;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
274;M;Private;Van;1.0;NO;Highly Urban/ Urban;dev_express;06/01/2022 19:41;complet;23;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
275;M;Private;SUV;1.0;YES;Highly Urban/ Urban;dev_express;12/04/2022 12:00;complet;49;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
276;F;Commercial;Panel Truck;10.0;YES;Highly Urban/ Urban;dev_express;25/04/2022 16:57;complet;85;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
277;M;Commercial;Pickup;8.0;YES;Highly Urban/ Urban;dev_integral;01/01/2022 07:42;complet;35;"[325Û;400Û]";"[80k;100k]";YES;VRAI;NO
278;M;Commercial;Pickup;1.0;YES;Highly Urban/ Urban;dev_express;16/03/2022 12:46;complet;58;"[250Û;325Û]";"[20k;40k]";NO;FAUX;YES
279;M;Commercial;Panel Truck;20.0;YES;Highly Urban/ Urban;dev_integral;20/03/2022 11:43;complet;23;"[325Û;400Û]";[>100k];NO;FAUX;NO
280;M;Private;SUV;2.0;YES;Highly Urban/ Urban;dev_integral;20/01/2022 09:01;complet;72;"[250Û;325Û]";[<20k];NO;FAUX;NO
281;M;Private;Minivan;12.0;NO;Highly Urban/ Urban;dev_integral;10/05/2022 05:21;complet;58;"[250Û;325Û]";"[60k;80k]";NO;FAUX;YES
282;M;Private;Sports Car;11.0;YES;Highly Urban/ Urban;dev_premium;10/01/2022 01:26;complet;5;"[500Û;575Û]";[<20k];NO;FAUX;NO
283;F;Private;Sports Car;12.0;NO;Highly Rural/ Rural;dev_integral;28/03/2022 12:26;complet;5;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
284;F;Private;Minivan;11.0;YES;Highly Urban/ Urban;dev_integral;13/04/2022 14:44;complet;45;"[250Û;325Û]";"[20k;40k]";NO;FAUX;YES
285;F;Private;SUV;1.0;NO;Highly Urban/ Urban;dev_integral;21/02/2022 23:21;complet;86;"[325Û;400Û]";"[60k;80k]";NO;FAUX;NO
286;F;Private;Pickup;1.0;YES;Highly Urban/ Urban;dev_integral;15/01/2022 01:35;complet;18;"[250Û;325Û]";"[20k;40k]";NO;FAUX;YES
287;F;Commercial;Pickup;10.0;NO;Highly Rural/ Rural;dev_integral;25/01/2022 15:18;complet;40;"[325Û;400Û]";"[20k;40k]";NO;FAUX;YES
288;M;Private;Minivan;7.0;YES;Highly Urban/ Urban;dev_integral;18/01/2022 08:22;complet;72;"[325Û;400Û]";[<20k];NO;FAUX;NO
289;F;Commercial;Panel Truck;17.0;NO;Highly Urban/ Urban;dev_express;15/02/2022 23:56;complet;76;"[250Û;325Û]";[>100k];NO;FAUX;YES
290;M;Private;Pickup;14.0;YES;Highly Urban/ Urban;dev_premium;27/01/2022 03:55;complet;59;"[500Û;575Û]";"[60k;80k]";YES;FAUX;NO
291;M;Private;Pickup;9.0;YES;Highly Urban/ Urban;dev_express;18/03/2022 07:40;complet;57;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
292;M;Private;Pickup;8.0;NO;Highly Urban/ Urban;dev_integral;22/03/2022 07:46;complet;18;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
293;M;Private;Minivan;inconnu;YES;Highly Urban/ Urban;dev_integral;07/03/2022 03:55;complet;3;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
294;M;Commercial;Van;4.0;NO;Highly Urban/ Urban;dev_integral;18/05/2022 22:10;complet;7;"[250Û;325Û]";"[60k;80k]";NO;FAUX;YES
295;F;Private;SUV;1.0;YES;Highly Urban/ Urban;dev_express;01/05/2022 17:43;complet;22;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
296;F;Private;SUV;11.0;NO;Highly Urban/ Urban;dev_integral;26/05/2022 22:40;complet;46;"[250Û;325Û]";"[80k;100k]";YES;FAUX;NO
297;F;Private;SUV;inconnu;YES;Highly Urban/ Urban;dev_premium;23/04/2022 11:29;complet;13;"[500Û;575Û]";"[40k;60k]";NO;FAUX;NO
298;F;Private;Minivan;11.0;YES;Highly Urban/ Urban;dev_express;27/02/2022 02:58;complet;89;"[250Û;325Û]";[>100k];YES;VRAI;YES
299;F;Private;Pickup;10.0;YES;Highly Urban/ Urban;dev_integral;16/04/2022 10:28;complet;68;"[250Û;325Û]";"[60k;80k]";NO;FAUX;YES
300;F;Commercial;Panel Truck;21.0;YES;Highly Urban/ Urban;dev_express;21/03/2022 00:34;complet;20;"[250Û;325Û]";"[40k;60k]";YES;FAUX;NO
301;M;Commercial;Sports Car;1.0;NO;Highly Rural/ Rural;dev_integral;10/05/2022 09:58;complet;45;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
302;F;Private;Pickup;10.0;NO;Highly Rural/ Rural;dev_integral;11/04/2022 21:52;complet;3;"[250Û;325Û]";"[80k;100k]";YES;FAUX;NO
303;F;Private;SUV;1.0;NO;Highly Rural/ Rural;dev_express;13/05/2022 22:59;complet;51;"[250Û;325Û]";[<20k];YES;FAUX;NO
304;F;Private;Minivan;1.0;YES;Highly Urban/ Urban;dev_integral;26/05/2022 20:49;complet;70;"[250Û;325Û]";[<20k];YES;VRAI;YES
305;F;Private;Pickup;10.0;NO;Highly Rural/ Rural;dev_express;03/03/2022 14:18;complet;80;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
306;F;Private;Sports Car;12.0;NO;Highly Urban/ Urban;dev_express;26/01/2022 19:37;complet;70;"[250Û;325Û]";[>100k];NO;FAUX;NO
307;M;Commercial;Pickup;20.0;YES;Highly Urban/ Urban;dev_express;22/01/2022 01:15;complet;10;"[250Û;325Û]";[>100k];NO;FAUX;YES
308;F;Private;SUV;3.0;NO;Highly Urban/ Urban;dev_express;25/05/2022 07:24;complet;73;"[250Û;325Û]";[<20k];NO;FAUX;NO
309;F;Private;Minivan;11.0;NO;Highly Urban/ Urban;dev_premium;03/02/2022 17:35;complet;18;"[400Û;500Û]";"[60k;80k]";NO;FAUX;NO
310;F;Commercial;Panel Truck;19.0;YES;Highly Urban/ Urban;dev_express;08/01/2022 02:38;complet;52;"[250Û;325Û]";[>100k];NO;FAUX;YES
311;F;Commercial;Minivan;11.0;NO;Highly Rural/ Rural;dev_express;02/05/2022 00:05;complet;47;"[250Û;325Û]";[<20k];NO;FAUX;NO
312;M;Commercial;Sports Car;7.0;NO;Highly Urban/ Urban;dev_express;18/05/2022 16:18;complet;35;"[250Û;325Û]";"[40k;60k]";NO;FAUX;YES
313;M;Private;Minivan;8.0;NO;Highly Rural/ Rural;dev_premium;25/05/2022 08:12;complet;38;"[400Û;500Û]";"[20k;40k]";NO;FAUX;NO
314;M;Private;Sports Car;1.0;YES;Highly Urban/ Urban;dev_integral;04/05/2022 10:23;complet;67;"[250Û;325Û]";"[40k;60k]";YES;VRAI;NO
315;F;Private;Pickup;12.0;YES;Highly Urban/ Urban;dev_integral;16/04/2022 07:28;complet;62;"[250Û;325Û]";[>100k];YES;FAUX;NO
316;M;Private;Minivan;1.0;NO;Highly Urban/ Urban;dev_integral;17/02/2022 11:37;complet;20;"[325Û;400Û]";[<20k];NO;FAUX;NO
317;M;Private;Minivan;11.0;NO;Highly Urban/ Urban;dev_premium;25/04/2022 08:56;complet;82;"[325Û;400Û]";[>100k];NO;FAUX;YES
318;F;Commercial;Panel Truck;7.0;NO;Highly Urban/ Urban;dev_integral;24/03/2022 18:04;complet;12;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
319;F;Private;SUV;5.0;NO;Highly Rural/ Rural;dev_express;24/01/2022 04:40;complet;50;"[250Û;325Û]";[<20k];YES;FAUX;NO
320;M;Private;Pickup;9.0;NO;Highly Rural/ Rural;dev_integral;03/03/2022 06:41;complet;84;"[250Û;325Û]";[<20k];YES;VRAI;YES
321;F;Private;Van;14.0;NO;Highly Urban/ Urban;dev_integral;29/01/2022 15:32;complet;61;"[250Û;325Û]";[>100k];NO;FAUX;YES
322;F;Private;SUV;4.0;NO;Highly Rural/ Rural;dev_integral;29/04/2022 12:31;complet;92;"[325Û;400Û]";[<20k];YES;VRAI;NO
323;F;Private;Sports Car;6.0;NO;Highly Urban/ Urban;dev_integral;11/01/2022 18:54;complet;74;"[250Û;325Û]";"[60k;80k]";NO;FAUX;NO
324;F;Commercial;Pickup;1.0;YES;Highly Rural/ Rural;dev_express;11/05/2022 07:38;complet;44;"[250Û;325Û]";[<20k];YES;FAUX;NO
325;F;Private;SUV;1.0;YES;Highly Urban/ Urban;dev_express;07/05/2022 22:16;complet;55;"[250Û;325Û]";"[20k;40k]";YES;FAUX;NO
326;M;Commercial;Minivan;1.0;YES;Highly Urban/ Urban;dev_express;08/02/2022 23:25;complet;6;"[250Û;325Û]";"[80k;100k]";NO;FAUX;NO
327;F;Private;Minivan;19.0;YES;Highly Urban/ Urban;dev_integral;01/02/2022 06:20;complet;73;"[325Û;400Û]";"[80k;100k]";NO;FAUX;YES
328;F;Commercial;SUV;12.0;YES;Highly Urban/ Urban;dev_integral;10/03/2022 16:31;complet;61;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
329;F;Private;Minivan;1.0;YES;Highly Urban/ Urban;dev_integral;08/03/2022 15:24;complet;54;"[250Û;325Û]";"[40k;60k]";NO;FAUX;NO
330;F;Private;SUV;9.0;YES;Highly Rural/ Rural;dev_premium;27/05/2022 17:51;complet;61;"[400Û;500Û]";"[20k;40k]";NO;FAUX;NO
331;F;Private;Pickup;9.0;YES;Highly Urban/ Urban;dev_vip;07/01/2022 08:08;complet;50;"[575Û;650Û]";"[60k;80k]";NO;FAUX;YES
332;M;Private;Minivan;1.0;NO;Highly Urban/ Urban;dev_express;14/02/2022 20:28;complet;82;"[250Û;325Û]";"[20k;40k]";YES;VRAI;YES
333;M;Private;Sports Car;4.0;NO;Highly Urban/ Urban;dev_express;21/02/2022 01:00;complet;35;"[250Û;325Û]";"[20k;40k]";NO;FAUX;NO
